,Level1,Level2,Level3,Level4,Total
362,2011-2014,8,Compete to Compute,Deep Networks with Internal Selective Attention through Feedback Connections,1
363,1996-1999,9,Ensemble Learning for Multi-Layer Networks,Affine Independent Variational Inference,1
364,2005-2008,10,Learning from Multiple Sources,Multi-Label Prediction via Sparse Infinite CCA,1
365,2005-2008,10,Learning from Multiple Sources,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,1
366,2005-2008,10,Learning from Multiple Sources,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach,1
367,2005-2008,10,Learning from Multiple Sources,Generalization Bounds for Domain Adaptation,1
368,2008-2011,11,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,1
369,2011-2014,12,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,1
370,1987-1990,13,Towards an Organizing Principle for a Layered Perceptual Network,Kernelized Infomax Clustering,1
371,2005-2008,0,A learning framework for nearest neighbor search,Learning to Prune in Metric and Non-Metric Spaces,1
372,1996-1999,1,Extended ICA Removes Artifacts from Electroencephalographic Recordings,Recognizing Evoked Potentials in a Virtual Environment,1
373,2002-2005,2,Message Errors in Belief Propagation,Walk-Sum Interpretation and Analysis of Gaussian Belief Propagation,1
374,2008-2011,3,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,1
375,2008-2011,3,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1
376,2011-2014,4,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,1
377,2011-2014,4,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1
378,2008-2011,5,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,1
379,2011-2014,6,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,1
380,2002-2005,7,A Machine Learning Approach to Conjoint Analysis,Global Analytic Solution for Variational Bayesian Matrix Factorization,1
381,1996-1999,8,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,1
382,1996-1999,8,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,1
383,1996-1999,8,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,1
384,1996-1999,8,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,1
385,1999-2002,9,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,1
386,1999-2002,9,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,1
387,1999-2002,9,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,1
388,1999-2002,9,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,1
389,1993-1996,10,Factorial Learning and the EM Algorithm,Learning About Multiple Objects in Images: Factorial Learning without Factorial Search,1
390,2014-2017,11,Deep Convolutional Inverse Graphics Network,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",1
391,1999-2002,12,Adaptive Scaling for Feature Selection in SVMs,From Lasso regression to Feature vector machine,1
392,2002-2005,13,Adaptive Scaling for Feature Selection in SVMs,From Lasso regression to Feature vector machine,1
393,2014-2017,0,Convolutional Networks on Graphs for Learning Molecular Fingerprints,Protein contact prediction from amino acid co-evolution using convolutional networks for graph-valued images,1
394,2002-2005,1,Nonparametric inference of prior probabilities from Bayes-optimal behavior,Optimal models of sound localization by barn owls,1
395,2005-2008,2,Nonparametric inference of prior probabilities from Bayes-optimal behavior,Optimal models of sound localization by barn owls,1
396,2011-2014,3,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions,1
397,2008-2011,4,Zero-shot Learning with Semantic Output Codes,Zero-shot recognition with unreliable attributes,1
398,1996-1999,5,Model Selection for Support Vector Machines,Fast Graph Laplacian Regularized Kernel Learning via Semidefinite?Quadratic?Linear Programming,1
399,1999-2002,6,Model Selection for Support Vector Machines,Fast Graph Laplacian Regularized Kernel Learning via Semidefinite?Quadratic?Linear Programming,1
400,2005-2008,7,Multi-Task Feature Learning,Supervised Dictionary Learning,1
401,2008-2011,8,Implicit encoding of prior probabilities in optimal neural populations,Efficient coding provides a direct link between prior and likelihood in perceptual Bayesian inference,1
402,2008-2011,8,Implicit encoding of prior probabilities in optimal neural populations,"Optimal Neural Tuning Curves for Arbitrary Stimulus Distributions: Discrimax, Infomax and Minimum ",1
403,2008-2011,8,Implicit encoding of prior probabilities in optimal neural populations,Optimal Neural Population Codes for High-dimensional Stimulus Variables,1
404,2008-2011,8,Implicit encoding of prior probabilities in optimal neural populations,Optimal prior-dependent neural population codes under shared input noise,1
405,2011-2014,9,Solving the multi-way matching problem by permutation synchronization,Permutation Diffusion Maps (PDM) with Application to the Image Association Problem in Computer Vision,1
406,2011-2014,9,Solving the multi-way matching problem by permutation synchronization,Normalized Spectral Map Synchronization,1
407,2011-2014,9,Solving the multi-way matching problem by permutation synchronization,On Valid Optimal Assignment Kernels and Applications to Graph Classification,1
408,1999-2002,10,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,1
409,2002-2005,11,Efficient Learning Equilibrium,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,1
410,1993-1996,12,A model of transparent motion and non-transparent motion aftereffects,Distributional Population Codes and Multiple Motion Models,1
411,2002-2005,13,AUC Optimization vs. Error Rate Minimization,Confidence Intervals for the Area Under the ROC Curve,1
412,2002-2005,13,AUC Optimization vs. Error Rate Minimization,Reconciling Real Scores with Binary Comparisons: A New Logistic Based Model for Ranking,1
413,2008-2011,0,Maximum Margin Multi-Label Structured Prediction,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,1
414,2011-2014,1,Maximum Margin Multi-Label Structured Prediction,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,1
415,2002-2005,2,Semi-Markov Conditional Random Fields for Information Extraction,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,1
416,2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Reverse Multi-Label Learning,1
417,2008-2011,3,Multi-Label Prediction via Sparse Infinite CCA,Submodular Multi-Label Learning,1
418,2008-2011,4,AUC optimization and the two-sample problem,A More Powerful Two-Sample Test in High Dimensions using Random Projection,1
419,2011-2014,5,Spectral methods for neural characterization using generalized quadratic models,Convolutional spike-triggered covariance analysis for neural subunit models,1
420,1990-1993,6,Threshold Network Learning in the Presence of Equivalences,Generalisation of A Class of Continuous Neural Networks,1
421,1987-1990,7,Recognizing Hand-Printed Letters and Digits,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,1
422,1990-1993,8,VISIT: A Neural Model of Covert Visual Attention,Selective Attention for Handwritten Digit Recognition,1
423,2008-2011,9,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,1
424,2008-2011,9,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1
425,2008-2011,9,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1
426,2011-2014,10,Sequence learning with hidden units in spiking neural networks,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints,1
427,2011-2014,10,Sequence learning with hidden units in spiking neural networks,Learning visual motion in recurrent neural networks,1
428,2011-2014,10,Sequence learning with hidden units in spiking neural networks,Synaptic Sampling: A Bayesian Approach to Neural Network Plasticity and Rewiring,1
429,2002-2005,11,Bayesian models of human action understanding,Help or Hinder: Bayesian Models of Social Goal Inference,1
430,2005-2008,12,Bayesian models of human action understanding,Help or Hinder: Bayesian Models of Social Goal Inference,1
431,2002-2005,13,Locality Preserving Projections,Tensor Subspace Analysis,1
432,2002-2005,13,Locality Preserving Projections,Laplacian Score for Feature Selection,1
433,2002-2005,13,Locality Preserving Projections,Dimensionality Reduction Using the Sparse Linear Model,1
434,2011-2014,0,A Kernel Test for Three-Variable Interactions,Cross-Domain Matching for Bag-of-Words Data via Kernel Embeddings of Latent Distributions,1
435,2011-2014,1,Rational inference of relative preferences,Magnitude-sensitive preference formation`,1
436,2011-2014,1,Rational inference of relative preferences,A Theory of Decision Making Under Dynamic Context,1
437,2011-2014,1,Rational inference of relative preferences,Human Decision-Making under Limited Time,1
438,1999-2002,2,Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,1
439,2002-2005,3,Adaptive Caching by Refetching,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,1
440,2008-2011,4,Heterogeneous multitask learning with joint sparsity constraints,Multi-Stage Multi-Task Feature Learning,1
441,1996-1999,5,DTs: Dynamic Trees,A MCMC Approach to Hierarchical Mixture Modelling,1
442,2011-2014,6,Learning from Distributions via Support Measure Machines,Latent Support Measure Machines for Bag-of-Words Data Classification,1
443,2011-2014,6,Learning from Distributions via Support Measure Machines,Cross-Domain Matching for Bag-of-Words Data via Kernel Embeddings of Latent Distributions,1
444,2008-2011,7,Learning Multiple Tasks with a Sparse Matrix-Normal Penalty,Simultaneously Leveraging Output and Task Structures for Multiple-Output Regression,1
445,1987-1990,8,Constrained Differential Optimization,Analog Circuits for Constrained Optimization,1
446,1990-1993,9,Feudal Reinforcement Learning,The Parti-Game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State-Spaces,1
447,2008-2011,10,Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,1
448,2008-2011,10,Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,1
449,2008-2011,10,Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1
450,2011-2014,11,Dynamical segmentation of single trials from population neural data,Robust learning of low-dimensional dynamics from large neural ensembles,1
451,2011-2014,11,Dynamical segmentation of single trials from population neural data,A framework for studying synaptic plasticity with neural spike train data,1
452,2011-2014,11,Dynamical segmentation of single trials from population neural data,High-dimensional neural spike train analysis with generalized count linear dynamical systems,1
453,1987-1990,12,Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications,Recurrent Networks and NARMA Modeling,1
454,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,PiCoDes: Learning a Compact Code for Novel-Category Recognition,1
455,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,Co-Regularized Hashing for Multimodal Data,1
456,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,Hamming Distance Metric Learning,1
457,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,Isotropic Hashing,1
458,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,The Power of Asymmetry in Binary Hashing,1
459,2008-2011,13,Locality-sensitive binary codes from shift-invariant kernels,A Probabilistic Framework for Multimodal Retrieval using Integrative Indian Buffet Process,1
460,2005-2008,0,Sparse deep belief net model for visual area V2,"Slow, Decorrelated Features for Pretraining Complex Cell-like Networks",1
461,2005-2008,0,Sparse deep belief net model for visual area V2,Gated Softmax Classification,1
462,2005-2008,0,Sparse deep belief net model for visual area V2,Hallucinations in Charles Bonnet Syndrome Induced by Homeostasis: a Deep Boltzmann Machine Model,1
463,2005-2008,0,Sparse deep belief net model for visual area V2,Unsupervised learning models of primary cortical receptive fields and receptive field plasticity,1
464,2005-2008,0,Sparse deep belief net model for visual area V2,Shallow vs. Deep Sum-Product Networks,1
465,2005-2008,0,Sparse deep belief net model for visual area V2,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning,1
466,2005-2008,0,Sparse deep belief net model for visual area V2,Cardinality Restricted Boltzmann Machines,1
467,2005-2008,0,Sparse deep belief net model for visual area V2,Image Denoising and Inpainting with Deep Neural Networks,1
468,2005-2008,0,Sparse deep belief net model for visual area V2,Learning to Align from Scratch,1
469,2005-2008,0,Sparse deep belief net model for visual area V2,Adaptive Multi-Column Deep Neural Networks with Application to Robust Image Denoising,1
470,2005-2008,0,Sparse deep belief net model for visual area V2,Top-Down Regularization of Deep Belief Networks,1
471,2014-2017,1,Sampling from Probabilistic Submodular Models,Variational Inference in Mixed Probabilistic Submodular Models,1
472,2008-2011,2,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA,Convergence and Energy Landscape for Cheeger Cut Clustering,1
473,2008-2011,2,An Inverse Power Method for Nonlinear Eigenproblems with Applications in 1-Spectral Clustering and Sparse PCA,Multiclass Total Variation Clustering,1
474,1999-2002,3,Balancing Multiple Sources of Reward in Reinforcement Learning,Cobot: A Social Reinforcement Learning Agent,1
475,1987-1990,4,Learning by Choice of Internal Representations,A Cost Function for Internal Representations,1
476,1987-1990,5,Pulse-Firing Neural Chips for Hundreds of Neurons,Real-time autonomous robot navigation using VLSI neural networks,1
477,2008-2011,6,Unsupervised feature learning for audio classification using convolutional deep belief networks,Deep Learning for Real-Time Atari Game Play Using Offline Monte-Carlo Tree Search Planning,1
478,1987-1990,7,Handwritten Digit Recognition with a Back-Propagation Network,Generalized Learning Vector Quantization,1
479,1987-1990,7,Handwritten Digit Recognition with a Back-Propagation Network,Simulation of the Neocognitron on a CCD Parallel Processing Architecture,1
480,1987-1990,7,Handwritten Digit Recognition with a Back-Propagation Network,CCD Neural Network Processors for Pattern Recognition,1
481,1987-1990,7,Handwritten Digit Recognition with a Back-Propagation Network,Image Segmentation with Networks of Variable Scales,1
482,1987-1990,7,Handwritten Digit Recognition with a Back-Propagation Network,Improving Performance in Neural Networks Using a Boosting Algorithm,1
483,2014-2017,8,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,Multimodal Residual Learning for Visual QA,1
484,2011-2014,9,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,Deterministic Symmetric Positive Semidefinite Matrix Completion,1
485,1999-2002,10,A Natural Policy Gradient,Biasing Approximate Dynamic Programming with a Lower Discount Factor,1
486,1999-2002,10,A Natural Policy Gradient,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
487,2005-2008,11,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,Efficient Sampling for Gaussian Process Inference using Control Variables,1
488,2008-2011,12,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,Efficient Sampling for Gaussian Process Inference using Control Variables,1
489,2011-2014,13,Trading Computation for Communication: Distributed Stochastic Dual Coordinate Ascent,Communication-Efficient Distributed Dual Coordinate Ascent,1
490,2005-2008,0,The Price of Bandit Information for Online Optimization,Multi-armed bandits on implicit metric spaces,1
491,2011-2014,1,One-shot learning by inverting a compositional causal process,Unsupervised Learning by Program Synthesis,1
492,2011-2014,1,One-shot learning by inverting a compositional causal process,Softstar: Heuristic-Guided Probabilistic Inference,1
493,2011-2014,1,One-shot learning by inverting a compositional causal process,Ladder Variational Autoencoders,1
494,2014-2017,2,A Nonconvex Optimization Framework for Low Rank Matrix Estimation,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,1
495,2008-2011,3,Monte-Carlo Planning in Large POMDPs,Variance Reduction in Monte-Carlo Tree Search,1
496,2008-2011,3,Monte-Carlo Planning in Large POMDPs,Adaptive Stochastic Optimization: From Sets to Paths,1
497,1987-1990,4,A competitive modular connectionist architecture,Evaluation of Adaptive Mixtures of Competing Experts,1
498,1987-1990,4,A competitive modular connectionist architecture,Recognition of Manipulated Objects by Motor Learning,1
499,1987-1990,4,A competitive modular connectionist architecture,Mixtures of Controllers for Jump Linear and Non-Linear Plants,1
500,1990-1993,5,A competitive modular connectionist architecture,Evaluation of Adaptive Mixtures of Competing Experts,1
501,1990-1993,5,A competitive modular connectionist architecture,Recognition of Manipulated Objects by Motor Learning,1
502,1990-1993,5,A competitive modular connectionist architecture,Mixtures of Controllers for Jump Linear and Non-Linear Plants,1
503,2014-2017,6,A class of network models recoverable by spectral clustering,Graph Clustering: Block-models and model free results,1
504,2005-2008,7,Characterizing response behavior in multisensory perception with conflicting cues,A Framework for Testing Identifiability of Bayesian Models of Perception,1
505,2008-2011,8,Characterizing response behavior in multisensory perception with conflicting cues,A Framework for Testing Identifiability of Bayesian Models of Perception,1
506,2008-2011,9,Learning the context of a category,Inductive reasoning about chimeric creatures,1
507,2011-2014,10,Adaptive dropout for training deep neural networks,Altitude Training: Strong Bounds for Single-Layer Dropout,1
508,2011-2014,10,Adaptive dropout for training deep neural networks,Variational Dropout and the Local Reparameterization Trick,1
509,2011-2014,10,Adaptive dropout for training deep neural networks,Improved Dropout for Shallow and Deep Learning,1
510,2011-2014,11,Sparse Prediction with the ,A New Convex Relaxation for Tensor Completion,1
511,2011-2014,11,Sparse Prediction with the ,High Dimensional Structured Superposition Models,1
512,1993-1996,12,Monotonicity Hints,Monotonic Networks,1
513,1996-1999,13,Monotonicity Hints,Monotonic Networks,1
514,2014-2017,0,Global Optimality of Local Search for Low Rank Matrix Recovery,Matrix Completion has No Spurious Local Minimum,1
515,2011-2014,1,Demixing odors - fast inference in olfaction,Fast Sampling-Based Inference in Balanced Neuronal Networks,1
516,2011-2014,2,A statistical model for tensor PCA,Online and Differentially-Private Tensor Decomposition,1
517,2014-2017,3,A statistical model for tensor PCA,Online and Differentially-Private Tensor Decomposition,1
518,2011-2014,4,Optimal kernel choice for large-scale two-sample tests,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,1
519,2011-2014,4,Optimal kernel choice for large-scale two-sample tests,"B-test: A Non-parametric, Low Variance Kernel Two-sample Test",1
520,2011-2014,4,Optimal kernel choice for large-scale two-sample tests,Fast Two-Sample Testing with Analytic Representations of Probability Measures,1
521,2011-2014,4,Optimal kernel choice for large-scale two-sample tests,Interpretable Distribution Features with Maximum Testing Power,1
522,2011-2014,4,Optimal kernel choice for large-scale two-sample tests,Multivariate tests of association based on univariate tests,1
523,2011-2014,5,RNADE: The real-valued neural autoregressive density-estimator,Factoring Variations in Natural Images with Deep Gaussian Mixture Models,1
524,2011-2014,5,RNADE: The real-valued neural autoregressive density-estimator,f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization,1
525,2011-2014,6,High-Dimensional Gaussian Process Bandits,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1
526,2005-2008,7,Privacy-preserving logistic regression,Probabilistic Inference and Differential Privacy,1
527,2005-2008,7,Privacy-preserving logistic regression,Multiparty Differential Privacy via Aggregation of Locally Trained Classifiers,1
528,2005-2008,7,Privacy-preserving logistic regression,Differentially Private M-Estimators,1
529,2005-2008,7,Privacy-preserving logistic regression,(Nearly) Optimal Algorithms for Private Online Learning in Full-information and Bandit Settings,1
530,2005-2008,7,Privacy-preserving logistic regression,A Safe Screening Rule for Sparse Logistic Regression,1
531,2005-2008,7,Privacy-preserving logistic regression,Extremal Mechanisms for Local Differential Privacy,1
532,2005-2008,7,Privacy-preserving logistic regression,Nearly Optimal Private LASSO,1
533,2008-2011,8,Privacy-preserving logistic regression,Probabilistic Inference and Differential Privacy,1
534,2008-2011,8,Privacy-preserving logistic regression,Multiparty Differential Privacy via Aggregation of Locally Trained Classifiers,1
535,2008-2011,8,Privacy-preserving logistic regression,Differentially Private M-Estimators,1
536,2008-2011,8,Privacy-preserving logistic regression,(Nearly) Optimal Algorithms for Private Online Learning in Full-information and Bandit Settings,1
537,2008-2011,8,Privacy-preserving logistic regression,A Safe Screening Rule for Sparse Logistic Regression,1
538,2008-2011,8,Privacy-preserving logistic regression,Extremal Mechanisms for Local Differential Privacy,1
539,2008-2011,8,Privacy-preserving logistic regression,Nearly Optimal Private LASSO,1
540,2011-2014,9,ImageNet Classification with Deep Convolutional Neural Networks,Deep Networks with Internal Selective Attention through Feedback Connections,1
541,2011-2014,9,ImageNet Classification with Deep Convolutional Neural Networks,Weakly-supervised Discovery of Visual Pattern Configurations,1
542,2011-2014,9,ImageNet Classification with Deep Convolutional Neural Networks,Deep Joint Task Learning for Generic Object Extraction,1
543,2011-2014,9,ImageNet Classification with Deep Convolutional Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1
544,2011-2014,9,ImageNet Classification with Deep Convolutional Neural Networks,Preconditioned Spectral Descent for Deep Learning,1
545,1996-1999,10,A Neuromorphic Monaural Sound Localizer,Gradient Flow Independent Component Analysis in Micropower VLSI,1
546,2008-2011,11,Learning from Candidate Labeling Sets,A Conditional Multinomial Mixture Model for Superset Label Learning,1
547,2005-2008,12,Modeling image patches with a directed hierarchy of Markov random fields,The Recurrent Temporal Restricted Boltzmann Machine,1
548,1996-1999,13,Actor-Critic Algorithms,Variance Reduction Techniques for Gradient Estimates in Reinforcement Learning,1
549,1996-1999,13,Actor-Critic Algorithms,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
550,1996-1999,13,Actor-Critic Algorithms,Actor-Critic Algorithms for Risk-Sensitive MDPs,1
551,1999-2002,0,Actor-Critic Algorithms,Variance Reduction Techniques for Gradient Estimates in Reinforcement Learning,1
552,1999-2002,0,Actor-Critic Algorithms,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
553,1999-2002,0,Actor-Critic Algorithms,Actor-Critic Algorithms for Risk-Sensitive MDPs,1
554,2008-2011,1,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,1
555,2008-2011,1,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,1
556,2008-2011,1,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,1
557,2011-2014,2,Stochastic convex optimization with bandit feedback,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods,1
558,2011-2014,2,Stochastic convex optimization with bandit feedback,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,1
559,2011-2014,2,Stochastic convex optimization with bandit feedback,Algorithms and matching lower bounds for approximately-convex optimization,1
560,2008-2011,3,Structured Determinantal Point Processes,Near-Optimal MAP Inference for Determinantal Point Processes,1
561,2008-2011,3,Structured Determinantal Point Processes,Expectation-Maximization for Learning Determinantal Point Processes,1
562,2005-2008,4,Learning Visual Attributes,Structural epitome: a way to summarize one?s visual experience,1
563,1993-1996,5,Convergence Properties of the K-Means Algorithms,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,1
564,2011-2014,6,Iterative ranking from pair-wise comparisons,Generalized Method-of-Moments for Rank Aggregation,1
565,2011-2014,6,Iterative ranking from pair-wise comparisons,Learning Mixed Multinomial Logit Model from Ordinal Data,1
566,2011-2014,6,Iterative ranking from pair-wise comparisons,Fast Bidirectional Probability Estimation in Markov Models,1
567,2011-2014,6,Iterative ranking from pair-wise comparisons,Collaboratively Learning Preferences from Ordinal Data,1
568,2011-2014,6,Iterative ranking from pair-wise comparisons,Copeland Dueling Bandits,1
569,2008-2011,7,On fast approximate submodular minimization,Reflection methods for user-friendly submodular optimization,1
570,2008-2011,7,On fast approximate submodular minimization,Provable Submodular Minimization using Wolfe's Algorithm,1
571,2008-2011,7,On fast approximate submodular minimization,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
572,2011-2014,8,On fast approximate submodular minimization,Reflection methods for user-friendly submodular optimization,1
573,2011-2014,8,On fast approximate submodular minimization,Provable Submodular Minimization using Wolfe's Algorithm,1
574,2011-2014,8,On fast approximate submodular minimization,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
575,1999-2002,9,Cluster Kernels for Semi-Supervised Learning,Hyperparameter Learning for Graph Based Semi-supervised Learning Algorithms,1
576,1999-2002,9,Cluster Kernels for Semi-Supervised Learning,Semi-supervised Eigenvectors for Locally-biased Learning,1
577,2002-2005,10,Cluster Kernels for Semi-Supervised Learning,Hyperparameter Learning for Graph Based Semi-supervised Learning Algorithms,1
578,2002-2005,10,Cluster Kernels for Semi-Supervised Learning,Semi-supervised Eigenvectors for Locally-biased Learning,1
579,2011-2014,11,Flexible sampling of discrete data correlations without the marginal distributions,Dynamic Rank Factor Model for Text Streams,1
580,1999-2002,12,Learning Segmentation by Random Walks,Self-Tuning Spectral Clustering,1
581,1996-1999,13,Perceptual Organization Based on Temporal Dynamics,Logic and MRF Circuitry for Labeling Occluding and Thinline Visual Contours,1
582,1999-2002,0,Perceptual Organization Based on Temporal Dynamics,Logic and MRF Circuitry for Labeling Occluding and Thinline Visual Contours,1
583,1999-2002,1,Classifying Single Trial EEG: Towards Brain Computer Interfacing,Combining Features for BCI,1
584,1999-2002,1,Classifying Single Trial EEG: Towards Brain Computer Interfacing,Increase Information Transfer Rates in BCI by CSP Extension to Multi-class,1
585,1999-2002,1,Classifying Single Trial EEG: Towards Brain Computer Interfacing,Optimizing spatio-temporal filters for improving Brain-Computer Interfacing,1
586,1999-2002,1,Classifying Single Trial EEG: Towards Brain Computer Interfacing,Reducing Calibration Time For Brain-Computer Interfaces: A Clustering Approach,1
587,1999-2002,1,Classifying Single Trial EEG: Towards Brain Computer Interfacing,Invariant Common Spatial Patterns: Alleviating Nonstationarities in Brain-Computer Interfacing,1
588,2008-2011,2,Inferring spike-timing-dependent plasticity from spike train data,A framework for studying synaptic plasticity with neural spike train data,1
589,2011-2014,3,Inferring spike-timing-dependent plasticity from spike train data,A framework for studying synaptic plasticity with neural spike train data,1
590,2005-2008,4,Influence of graph construction on graph-based clustering measures,Transfer Learning in a Transductive Setting,1
591,2008-2011,5,Influence of graph construction on graph-based clustering measures,Transfer Learning in a Transductive Setting,1
592,1999-2002,6,Combining Features for BCI,Increase Information Transfer Rates in BCI by CSP Extension to Multi-class,1
593,1999-2002,6,Combining Features for BCI,Optimizing spatio-temporal filters for improving Brain-Computer Interfacing,1
594,1999-2002,6,Combining Features for BCI,Reducing Calibration Time For Brain-Computer Interfaces: A Clustering Approach,1
595,2002-2005,7,Combining Features for BCI,Increase Information Transfer Rates in BCI by CSP Extension to Multi-class,1
596,2002-2005,7,Combining Features for BCI,Optimizing spatio-temporal filters for improving Brain-Computer Interfacing,1
597,2002-2005,7,Combining Features for BCI,Reducing Calibration Time For Brain-Computer Interfaces: A Clustering Approach,1
598,1987-1990,8,How Neural Nets Work,Implications of Recursive Distributed Representations,1
599,2011-2014,9,A new metric on the manifold of kernel matrices with application to matrix geometric means,Log-Hilbert-Schmidt metric between positive definite operators on Hilbert spaces,1
600,2005-2008,10,Non-rigid point set registration: Coherent Point Drift,Functional Geometry Alignment and Localization of Brain Areas,1
601,2008-2011,11,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,1
602,2008-2011,11,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,1
603,2011-2014,12,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Algorithms for Learning Markov Field Policies,1
604,2011-2014,12,Efficient Inference in Fully Connected CRFs with Gaussian Edge Potentials,Message Passing Inference for Large Scale Graphical Models with High Order Potentials,1
605,1987-1990,13,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect,1
606,2005-2008,0,"Uncertainty, phase and oscillatory hippocampal recall",Hippocampal Contributions to Control: The Third Way,1
607,2005-2008,0,"Uncertainty, phase and oscillatory hippocampal recall",Two is better than one: distinct roles for familiarity and recollection in retrieving palimpsest memories,1
608,2005-2008,0,"Uncertainty, phase and oscillatory hippocampal recall",Correlations strike back (again): the case of associative memory retrieval,1
609,2005-2008,1,Policy Search for Motor Primitives in Robotics,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
610,2005-2008,1,Policy Search for Motor Primitives in Robotics,Probabilistic Movement Primitives,1
611,2005-2008,1,Policy Search for Motor Primitives in Robotics,Model-Based Relative Entropy Stochastic Search,1
612,2008-2011,2,Policy Search for Motor Primitives in Robotics,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
