Level1,Level2,Level3,Level4,Federal,,Total
Defense,Military defense,Department of Defense  Military (051),"Overseas Humanitarian, Disaster, and Civic Aid",0.162,b,0.162
Defense,Military defense,Department of Defense  Military (051),Allied Contributions and Cooperation Account,0.904,b,0.904
Defense,Military defense,Department of Defense  Military (051),"Procurement, Marine Corps",2.598,b,2.598
Defense,Military defense,Department of Defense  Military (051),Mine Resistant Ambush Protected Vehicle Fund,0.78,b,0.78
Defense,Military defense,Department of Defense  Military (051),"Aircraft Procurement, Navy",18.601,b,18.601
Defense,Military defense,Department of Defense  Military (051),"Weapons Procurement, Navy",3.32,b,3.32
Defense,Military defense,Department of Defense  Military (051),"Procurement of Ammunition, Navy and Marine Corps",1.322,b,1.322
Defense,Military defense,Department of Defense  Military (051),"Shipbuilding and Conversion, Navy",14.034,b,14.034
Defense,Military defense,Department of Defense  Military (051),"Other Procurement, Navy",5.595,b,5.595
Defense,Military defense,Department of Defense  Military (051),"Aircraft Procurement, Army",6.818,b,6.818
Defense,Military defense,Department of Defense  Military (051),"Missile Procurement, Army",1.694,b,1.694
Defense,Military defense,Department of Defense  Military (051),"Procurement of Weapons and Tracked Combat Vehicles, Army",3.114,b,3.114
Defense,Military defense,Department of Defense  Military (051),"Procurement of Ammunition, Army",2.946,b,2.946
Defense,Military defense,Department of Defense  Military (051),"Other Procurement, Army",12.416,b,12.416
Defense,Military defense,Department of Defense  Military (051),Joint Improvised Explosive Device Defeat Fund,2.052,b,2.052
Defense,Military defense,Department of Defense  Military (051),"Procurement, Defensewide",4.658,b,4.658
Defense,Military defense,Department of Defense  Military (051),"Aircraft Procurement, Air Force",15.824,b,15.824
Defense,Military defense,Department of Defense  Military (051),"Procurement of Ammunition, Air Force",0.928,b,0.928
Defense,Military defense,Department of Defense  Military (051),"Missile Procurement, Air Force",5.747,b,5.747
Defense,Military defense,Department of Defense  Military (051),Joint Urgent Operational Needs Fund,0.065,b,0.065
Defense,Military defense,Department of Defense  Military (051),"Other Procurement, Air Force",19.494,b,19.494
Defense,Military defense,Department of Defense  Military (051),National Guard and Reserve Equipment,0.999,b,0.999
Defense,Military defense,Department of Defense  Military (051),Defense Production Act Purchases,0.136,b,0.136
Defense,Military defense,Department of Defense  Military (051),"Chemical Agents and Munitions Destruction, Defense",1.417,b,1.417
Defense,Military defense,Department of Defense  Military (051),"Research, Development, Test and Evaluation, Navy",17.416,b,17.416
Defense,Military defense,Department of Defense  Military (051),"Research, Development, Test and Evaluation, Army",9.579,b,9.579
Defense,Military defense,Department of Defense  Military (051),"Research, Development, Test and Evaluation, Air Force",26.151,b,26.151
Defense,Military defense,Department of Defense  Military (051),"Research, Development, Test and Evaluation, Defensewide",18.492,b,18.492
Defense,Military defense,Department of Defense  Military (051),"Operational Test and Evaluation, Defense",0.182,b,0.182
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Navy and Marine Corps",3.267,b,3.267
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Navy Reserve",0.083,b,0.083
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Army",7.286,b,7.286
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Army National Guard",0.723,b,0.723
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Army Reserve",0.342,b,0.342
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Air Force",1.492,b,1.492
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Air National Guard",0.251,b,0.251
Defense,Military defense,Department of Defense  Military (051),"Chemical Demilitarization Construction, Defensewide",0.12,b,0.12
Defense,Military defense,Department of Defense  Military (051),"Military Construction, Defensewide",3.621,b,3.621
Defense,Military defense,Department of Defense  Military (051),Department of Defense Base Closure Account 1990,0.365,b,0.365
Defense,Military defense,Department of Defense  Military (051),Department of Defense Base Closure Account 2005,1.337,b,1.337
Defense,Military defense,Department of Defense  Military (051),North Atlantic Treaty Organization Security Investment Program,0.472,b,0.472
Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Army",0.144,b,0.144
Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Army",0.582,b,0.582
Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Navy and Marine Corps",0.098,b,0.098
Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Navy and Marine Corps",0.378,b,0.378
Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Air Force",0.301,b,0.301
Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Air Force",0.48,b,0.48
Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, DefenseWide",0.051,b,0.051
Defense,Military defense,Department of Defense  Military (051),National Defense Sealift Fund,1.543,b,1.543
Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Army",1.609,b,1.609
Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Navy",0.051,b,0.051
Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Air Force",0.51,b,0.51
Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Defense Commissary Agency",1.409,b,1.409
Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, DefenseWide",1.097,b,1.097
Defense,Military defense,Department of Defense  Military (051),Pentagon Reservation Maintenance Revolving Fund,0.135,b,0.135
Defense,Military defense,Department of Defense  Military (051),Voluntary Separation Incentive Fund,0.108,b,0.108
Defense,Military defense,Department of Defense  Military (051),Host Nation Support Fund for Relocation,0.274,b,0.274
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Navy",1.184,b,1.184
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0.739,b,0.739
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0.142,b,0.142
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0.081,b,0.081
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Army",2.052,b,2.052
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0.428,b,0.428
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0.746,b,0.746
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Air Force",1.211,b,1.211
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0.143,b,0.143
Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0.227,b,0.227
Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Marine Corps",14.037,b,14.037
Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Marine Corps",0.686,b,0.686
Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Navy",1.917,b,1.917
Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Navy",27.827,b,27.827
Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Army",49.731,b,49.731
Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Army",8.813,b,8.813
Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Army",4.518,b,4.518
Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Air Force",29.464,b,29.464
Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Air Force",1.738,b,1.738
Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Air Force",3.228,b,3.228
Defense,Military defense,Department of Defense  Military (051),Concurrent Receipt Accrual Payments to the Military Retirement Fund,6.95,b,6.95
Defense,Military defense,Atomic energy defense activities (053),Energy Employees Occupational Illness Compensation Fund,1.26,b,1.26
Defense,Military defense,Atomic energy defense activities (053),"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0.129,b,0.129
Defense,Military defense,Atomic energy defense activities (053),Other Defense Activities,0.964,b,0.964
Defense,Military defense,Atomic energy defense activities (053),Defense Environmental Cleanup,6.186,b,6.186
Defense,Military defense,Atomic energy defense activities (053),Nuclear Energy,0.07,b,0.07
Defense,Military defense,Atomic energy defense activities (053),Weapons Activities,7.753,b,7.753
Defense,Military defense,Atomic energy defense activities (053),Defense Nuclear Nonproliferation,2.669,b,2.669
Defense,Military defense,Atomic energy defense activities (053),Office of the Administrator,0.432,b,0.432
Defense,Military defense,Atomic energy defense activities (053),Naval Reactors,1.06,b,1.06
Defense,Military defense,Atomic energy defense activities (053),Formerly Utilized Sites Remedial Action Program,0.108,b,0.108
Defense,Military defense,Atomic energy defense activities (053),CDCWide Activities and Program Support,0.055,b,0.055
Defense,Military defense,Defenserelated activities (054),"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",0.06,b,0.06
Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,5.041,b,5.041
Defense,Military defense,Defenserelated activities (054),Payment to Radiation Exposure Compensation Trust Fund,0.06,b,0.06
Defense,Military defense,Defenserelated activities (054),Radiation Exposure Compensation Trust Fund,0.06,b,0.06
Defense,Military defense,Defenserelated activities (054),Payment to Military Retirement Fund,67.179,b,67.179
Defense,Military defense,Defenserelated activities (054),"Federal Contributions, Military Retirement Fund",67.179,b,67.179
Defense,Military defense,Defenserelated activities (054),"Federal Contributions, DoD MedicareEligible Retiree Health Care Fund",3.633,b,3.633
Defense,Military defense,Defenserelated activities (054),Payment to Department of Defense MedicareEligible Retiree Health Care Fund,3.633,b,3.633
Defense,Military defense,Defenserelated activities (054),Maritime Security Program,0.184,b,0.184
Defense,Military defense,Defenserelated activities (054),Operating Expenses,0.342,b,0.342
Defense,Military defense,Defenserelated activities (054),Infrastructure Protection and Information Security,1.259,b,1.259
Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,0.066,b,0.066
Defense,Military defense,Defenserelated activities (054),Central Intelligence Agency Retirement and Disability System Fund,0.514,b,0.514
Defense,Military defense,Defenserelated activities (054),Research and Related Activities,0.054,b,0.054
Defense,Military defense,Defenserelated activities (054),Intelligence Community Management Account,0.553,b,0.553
Defense,Civil defense,,,0,,0
Defense,Veterans,Income security for veterans (701),"NSLI Fund, Premium and Other Receipts",0.069,b,0.069
Defense,Veterans,Income security for veterans (701),Compensation and Pensions,0.221,b,0.221
Defense,Veterans,Income security for veterans (701),Veterans Insurance and Indemnities,0.105,b,0.105
Defense,Veterans,Income security for veterans (701),Compensation,59.386,b,59.386
Defense,Veterans,Income security for veterans (701),Pensions benefits,4.914,b,4.914
Defense,Veterans,Income security for veterans (701),National Service Life Insurance Fund,1.081,b,1.081
Defense,Veterans,Income security for veterans (701),Veterans Special Life Insurance Fund,0.053,b,0.053
Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Veterans Employment and Training,0.066,b,0.066
Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Employing Agency Contributions, Education Benefits Fund",0.264,b,0.264
Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Education Benefits Fund,0.428,b,0.428
Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",0.139,b,0.139
Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Readjustment Benefits,13.716,b,13.716
Defense,Veterans,Hospital and medical care for veterans (703),"Pharmaceutical Copayments, MCCF",0.759,b,0.759
Defense,Veterans,Hospital and medical care for veterans (703),"First Party Collections, MCCF",0.188,b,0.188
Defense,Veterans,Hospital and medical care for veterans (703),"Third Party Collections, MCCF",1.917,b,1.917
Defense,Veterans,Hospital and medical care for veterans (703),"Compensated Work Therapy, MCCF",0.057,b,0.057
Defense,Veterans,Hospital and medical care for veterans (703),Medical Support and Compliance,5.637,b,5.637
Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,0.765,b,0.765
Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,42.775,b,42.775
Defense,Veterans,Hospital and medical care for veterans (703),Medical and Prosthetic Research,0.573,b,0.573
Defense,Veterans,Hospital and medical care for veterans (703),Medical Facilities,5.282,b,5.282
Defense,Veterans,Hospital and medical care for veterans (703),DODVA Health Care Sharing Incentive Fund,0.08,b,0.08
Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Major Projects",0.945,b,0.945
Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Minor Projects",0.421,b,0.421
Defense,Veterans,Hospital and medical care for veterans (703),Grants for Construction of State Extended Care Facilities,0.074,b,0.074
Defense,Veterans,Veterans housing (704),Housing Negative Subsidies,0.083,b,0.083
Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.158,b,0.158
Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.186,b,0.186
Defense,Veterans,Other veterans benefits and services (705),Salaries and Expenses,0.074,b,0.074
Defense,Veterans,Other veterans benefits and services (705),National Cemetery Administration,0.253,b,0.253
Defense,Veterans,Other veterans benefits and services (705),General Administration,2.501,b,2.501
Defense,Veterans,Other veterans benefits and services (705),Information Technology Systems,3.716,b,3.716
Defense,Veterans,Other veterans benefits and services (705),Office of Inspector General,0.11,b,0.11
Defense,Veterans,Other veterans benefits and services (705),Supply Fund,0.1,b,0.1
Defense,Veterans,Current Operations  Veterans Bonuses (Disc. 2005) (E84),,0,,0
Defense,Veterans,Current Operations  State Veterans' Services (E85),,0,g,0.4
Defense,Veterans,Construction  State Veterans' Services (F85),,0,g,0.1
Defense,Veterans,Other Capital Outlay  State Veterans' Services (G85),,0,g,0.6
Defense,Veterans,Assistance and Subsidies  Other Veterans Services (J85),,0,g,0.1
Defense,Foreign military aid,International security assistance (152),Peacekeeping Operations,0.416,b,0.416
Defense,Foreign military aid,International security assistance (152),Economic Support Fund,5.949,b,5.949
Defense,Foreign military aid,International security assistance (152),"Nonproliferation, Antiterrorism, Demining, and Related Programs",0.604,b,0.604
Defense,Foreign military aid,International security assistance (152),International Military Education and Training,0.104,b,0.104
Defense,Foreign military aid,International security assistance (152),Foreign Military Financing Program,6.556,b,6.556
Defense,Foreign military aid,International security assistance (152),Pakistan Counterinsurgency Capability Fund,0.64,b,0.64
Defense,Foreign military aid,International security assistance (152),Foreign Military Loan Liquidating Account,0.173,b,0.173
Defense,Foreign economic aid,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,2.836,b,2.836
Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Health Programs,8.693,b,8.693
Defense,Foreign economic aid,International development and humanitarian assistance (151),Democracy Fund,0.149,b,0.149
Defense,Foreign economic aid,International development and humanitarian assistance (151),Migration and Refugee Assistance,1.606,b,1.606
Defense,Foreign economic aid,International development and humanitarian assistance (151),Andean Counterdrug Programs,0.081,b,0.081
Defense,Foreign economic aid,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0.193,b,0.193
Defense,Foreign economic aid,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0.062,b,0.062
Defense,Foreign economic aid,International development and humanitarian assistance (151),International Organizations and Programs,0.399,b,0.399
Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Food Security Fund,0.134,b,0.134
Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0.102,b,0.102
Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Development Association,1.357,b,1.357
Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0.214,b,0.214
Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0.316,b,0.316
Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the African Development Bank,0.218,b,0.218
Defense,Foreign economic aid,International development and humanitarian assistance (151),Clean Technology Fund,0.185,b,0.185
Defense,Foreign economic aid,International development and humanitarian assistance (151),Debt Restructuring,0.183,b,0.183
Defense,Foreign economic aid,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,1.314,b,1.314
Defense,Foreign economic aid,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0.062,b,0.062
Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Assistance Program,2.365,b,2.365
Defense,Foreign economic aid,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0.08,b,0.08
Defense,Foreign economic aid,International development and humanitarian assistance (151),International Disaster Assistance,0.916,b,0.916
Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Credit Authority Program Account,0.059,b,0.059
Defense,Foreign economic aid,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0.137,b,0.137
Defense,Foreign economic aid,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0.576,b,0.576
Defense,Foreign economic aid,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,0.344,b,0.344
Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0.054,b,0.054
Defense,Foreign economic aid,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",0.1,b,0.1
Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,0.175,b,0.175
Defense,Foreign economic aid,International development and humanitarian assistance (151),Trade and Development Agency,0.061,b,0.061
Defense,Foreign economic aid,International development and humanitarian assistance (151),Peace Corps,0.375,b,0.375
Defense,Foreign economic aid,International development and humanitarian assistance (151),Millennium Challenge Corporation,1.484,b,1.484
Defense,Foreign economic aid,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",0.276,b,0.276
Defense,Foreign economic aid,International development and humanitarian assistance (151),Food for Peace Title II Grants,1.437,b,1.437
Defense,Foreign economic aid,International development and humanitarian assistance (151),McGovernDole International Food for Education and Child Nutrition Program,0.202,b,0.202
Defense,Foreign economic aid,Conduct of foreign affairs (153),"Federal Contributions, Foreign Service Retirement and Disability Fund",0.286,b,0.286
Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions for International Peacekeeping Activities,2.05,b,2.05
Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions to International Organizations,1.569,b,1.569
Defense,Foreign economic aid,Conduct of foreign affairs (153),Diplomatic and Consular Programs,10.852,b,10.852
Defense,Foreign economic aid,Conduct of foreign affairs (153),Capital Investment Fund,0.082,b,0.082
Defense,Foreign economic aid,Conduct of foreign affairs (153),Conflict Stabilization Operations,0.071,b,0.071
Defense,Foreign economic aid,Conduct of foreign affairs (153),Working Capital Fund,0.276,b,0.276
Defense,Foreign economic aid,Conduct of foreign affairs (153),Office of the Inspector General,0.13,b,0.13
Defense,Foreign economic aid,Conduct of foreign affairs (153),"Embassy Security, Construction, and Maintenance",1.287,b,1.287
Defense,Foreign economic aid,Conduct of foreign affairs (153),Payment to Foreign Service Retirement and Disability Fund,0.286,b,0.286
Defense,Foreign economic aid,Conduct of foreign affairs (153),Salaries and Expenses,0.083,b,0.083
Defense,Foreign economic aid,Foreign information and exchange activities (154),National Endowment for Democracy,0.135,b,0.135
Defense,Foreign economic aid,Foreign information and exchange activities (154),Educational and Cultural Exchange Programs,0.652,b,0.652
Defense,Foreign economic aid,Foreign information and exchange activities (154),International Broadcasting Operations,0.717,b,0.717
Defense,Foreign economic aid,International financial programs (155),Exchange Stabilization Fund,0.296,b,0.296
Defense,Foreign economic aid,International financial programs (155),"Deposits, Advances, Foreign Military Sales Trust Fund",27.743,b,27.743
Defense,Foreign economic aid,International financial programs (155),Foreign Military Sales Trust Fund,30.867,b,30.867
Defense,Foreign economic aid,International financial programs (155),ExportImport Bank Loans Program Account,0.403,b,0.403
Defense,Foreign economic aid,International financial programs (155),"ExportImport Bank Loans, Negative Subsidies",0.364,b,0.364
Defense,Foreign economic aid,International cooperation (156),,0,,0
Defense,R&D Defence,,,0,,0
Defense,Defence n.e.c.,Defense Overseas Contingency Operations (059),,0,,0
Welfare,Family and children,Food and nutrition assistance (605),Emergency Food and Shelter,0.1,b,0.1
Welfare,Family and children,Food and nutrition assistance (605),"Funds for Strengthening Markets, Income, and Supply (section 32)",1.044,b,1.044
Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,7.034,b,7.034
Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,75.716,b,75.716
Welfare,Family and children,Food and nutrition assistance (605),Commodity Assistance Program,0.254,b,0.254
Welfare,Family and children,Food and nutrition assistance (605),Nutrition Programs Administration,0.146,b,0.146
Welfare,Family and children,Food and nutrition assistance (605),"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",7.427,b,7.427
Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,19.768,b,19.768
Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,0.191,b,0.191
Welfare,Family and children,"Current Operations  Welfare, Federal Categorical Assistance Programs (Disc. 2005) (E67)",,0,,0
Welfare,Family and children,"Current Operations  Welfare, Cash Assistance  Other (Disc. 2005) (E68)",,0,,0
Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Federal Categorical Assistance Programs (J67)",,0,g,16.9
Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Cash Assistance Programs  Other (J68)",,0,g,9.4
Welfare,Unemployment,Unemployment compensation (603),"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",1.16,b,1.16
Welfare,Unemployment,Unemployment compensation (603),"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",19.351,b,19.351
Welfare,Unemployment,Unemployment compensation (603),Payments to the Unemployment Trust Fund,19.351,b,19.351
Welfare,Unemployment,Unemployment compensation (603),State Unemployment Insurance and Employment Service Operations,0.379,b,0.379
Welfare,Unemployment,Unemployment compensation (603),Federal Unemployment Benefits and Allowances,0.521,b,0.521
Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.591,b,1.591
Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.469,b,1.469
Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0.766,b,0.766
Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,73.742,b,73.742
Welfare,Unemployment,Unemployment compensation (603),Railroad Unemployment Insurance Trust Fund,0.1,b,0.1
Welfare,Unemployment,Federal Intergovernmental  Employment Security Administration (B22),,0,g,5.5
Welfare,Unemployment,Current Operations  Social Insurance Administration (E22),,0,g,5.2
Welfare,Unemployment,Construction  Social Insurance Administration (F22),,0,g,0
Welfare,Unemployment,Other Capital Outlay  Social Insurance Administration (G22),,0,g,0
Welfare,Unemployment trust,Unemployment Compensation  Benefit Payments (Y05),,0,g,27.5
Welfare,Unemployment trust,Unemployment Compensation  Extended and Special Payments (Y06),,0,g,48.2
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Salaries and Expenses,0.183,b,0.183
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Pension Benefit Guaranty Corporation Fund,1.575,b,1.575
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Benefits for Disabled Coal Miners,0.168,b,0.168
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Black Lung Disability Trust Fund,0.309,b,0.309
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Workers' Compensation Expenses,0.147,b,0.147
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,0.057,b,0.057
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Payment of Interest on Advances to the Railroad Retirement Board,0.106,b,0.106
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payment to the District of Columbia Pension Fund,0.469,b,0.469
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Contribution, DC Federal Pension Fund",0.469,b,0.469
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),District of Columbia Federal Pension Fund,0.554,b,0.554
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payments to the Railroad Retirement Accounts,0.544,b,0.544
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",0.211,b,0.211
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",3.837,b,3.837
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",0.485,b,0.485
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Railroad Social Security Equivalent Benefit Account,6.887,b,6.887
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",1.983,b,1.983
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",0.333,b,0.333
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,0.074,b,0.074
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,4.984,b,4.984
Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),National Railroad Retirement Investment Trust,2.061,b,2.061
Welfare,Workers compensation,Workers Compensation  Benefit Payments (Y14),,0,g,12.1
Welfare,Housing,Housing assistance (604),"Troubled Asset Relief Program, Housing Programs",12.148,b,12.148
Welfare,Housing,Housing assistance (604),Housing Personnel Compensation and Benefits,0.399,b,0.399
Welfare,Housing,Housing assistance (604),"Administration, Operations and Management",0.531,b,0.531
Welfare,Housing,Housing assistance (604),Public and Indian Housing Personnel Compensation and Benefits,0.211,b,0.211
Welfare,Housing,Housing assistance (604),Public Housing Operating Fund,4.276,b,4.276
Welfare,Housing,Housing assistance (604),Revitalization of Severely Distressed Public Housing (HOPE VI),0.15,b,0.15
Welfare,Housing,Housing assistance (604),Tenant Based Rental Assistance,19.092,b,19.092
Welfare,Housing,Housing assistance (604),Projectbased Rental Assistance,0.26,b,0.26
Welfare,Housing,Housing assistance (604),Projectbased Rental Assistance,9.22,b,9.22
Welfare,Housing,Housing assistance (604),Public Housing Capital Fund,2.371,b,2.371
Welfare,Housing,Housing assistance (604),Native American Housing Block Grant,0.653,b,0.653
Welfare,Housing,Housing assistance (604),Housing Certificate Fund,0.808,b,0.808
Welfare,Housing,Housing assistance (604),Selfhelp Homeownership Opportunity Program,0.076,b,0.076
Welfare,Housing,Housing assistance (604),Homeless Assistance Grants,0.707,b,0.707
Welfare,Housing,Housing assistance (604),Homeless Assistance Grants,1.204,b,1.204
Welfare,Housing,Housing assistance (604),Home Investment Partnership Program,1.611,b,1.611
Welfare,Housing,Housing assistance (604),Housing Opportunities for Persons with AIDS,0.331,b,0.331
Welfare,Housing,Housing assistance (604),Other Assisted Housing Programs,0.367,b,0.367
Welfare,Housing,Housing assistance (604),Housing for Persons with Disabilities,0.251,b,0.251
Welfare,Housing,Housing assistance (604),Housing for the Elderly,1.005,b,1.005
Welfare,Housing,Housing assistance (604),Affordable Housing Program,0.198,b,0.198
Welfare,Housing,Housing assistance (604),Rental Assistance Program,0.953,b,0.953
Welfare,Housing,Federal Intergovernmental  Housing and Community Development (B50),,0,g,48.9
Welfare,Housing,Current Operations  Housing and Community Development (E50),,0,g,53.3
