Level1,Level2,Level3,Level4,Citations,Papers,Paper_ID,Top_Words1,Top_Topic1,KCluster
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Gaussian sampling by local perturbations,Training sparse natural image models with a fast Gibbs sampler of an extended state space,1,1,3940,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Gaussian sampling by local perturbations,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations,1,1,3940,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Gaussian sampling by local perturbations,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,1,1,3940,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Manifold Parzen Windows,Submanifold density estimation,1,1,2203,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,1,1,2203,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,"data, learning, local, system, bound, margin, coordinates, using, global, given",Manifold Parzen Windows,Submanifold density estimation,1,1,2203,"data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2002-2005,"data, learning, local, system, bound, margin, coordinates, using, global, given",Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,1,1,2203,"data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
1999-2002,"estimates, probability, method, matrix, tibshirani, hastie, class, code, loss, based",Reducing multiclass to binary by coupling probability estimates,A Generalized Bradley-Terry Model: From Group Competition to Individual Skill,1,1,2122,"estimates', u'probability', u'method', u'matrix', u'tibshirani', u'hastie', u'class', u'code', u'loss', u'based']",[8],8
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Perspectives on Sparse Bayesian Learning,Using Bayesian Dynamical Systems for Motion Template Libraries,1,1,2393,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",A Model for Learning the Semantics of Pictures,Who's In the Picture,1,1,2474,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2014-2017,"sentence, skip, model, vectors, sentences, encoder, representations, results, image, word",Skip-Thought Vectors,Multimodal Residual Learning for Visual QA,1,1,5950,"sentence', u'skip', u'model', u'vectors', u'sentences', u'encoder', u'representations', u'results', u'image', u'word']",[9],5
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Spatial Normalized Gamma Processes,Construction of Dependent Dirichlet Processes based on Poisson Processes,1,1,3630,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Spatial Normalized Gamma Processes,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,1,1,3630,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Efficient multiple hyperparameter learning for log-linear models,<var>\theta</var>,1,1,3286,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1993-1996,"weights, training, method, monte, carlo, prior, network, hidden, weight, given",Exponentially many local minima for single neurons,Worst-case Loss Bounds for Single Neurons,1,1,1028,"weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
1993-1996,"weights, training, method, monte, carlo, prior, network, hidden, weight, given",Exponentially many local minima for single neurons,On the Computational Efficiency of Training Neural Networks,1,1,1028,"weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
2005-2008,"terms, approximation, gaussian, corrections, correction, model, data, models, unity, posterior",Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1,1,3584,"terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,"terms, approximation, gaussian, corrections, correction, model, data, models, unity, posterior",Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,1,1,3584,"terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,"terms, approximation, gaussian, corrections, correction, model, data, models, unity, posterior",Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,1,1,3584,"terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1,1,3584,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,1,1,3584,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,1,1,3584,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,"linear, value, state, policy, function, factored, approximate, optimal, constraints, approximation",Multiagent Planning with Factored MDPs,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,1,1,1941,"linear', u'value', u'state', u'policy', u'function', u'factored', u'approximate', u'optimal', u'constraints', u'approximation']",[3],0
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Matrix reconstruction with the local max norm,Online Optimization for Max-Norm Regularization,1,1,4615,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Efficient Online Inference for Bayesian Nonparametric Relational Models,On the relations of LFPs & Neural Spike Trains,1,1,5072,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,"objects, relations, concept, set, algorithm, sense, images, image, model, words",Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,1,1,3421,"objects', u'relations', u'concept', u'set', u'algorithm', u'sense', u'images', u'image', u'model', u'words']","[0, 9]",5
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,1,1,3421,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
1993-1996,"algorithm, state, problem, time, hidden, markov, models, mean, step, algorithms",Improving Elevator Performance Using Reinforcement Learning,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1,1,1073,"algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,Bach in a Box - Real-Time Harmony,1,1,576,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2014-2017,"lower, algorithm, problem, bounds, action, bound, feedback, log, regret, minimax",Combinatorial Bandits Revisited,Combinatorial semi-bandit with known covariance,1,1,5831,"lower', u'algorithm', u'problem', u'bounds', u'action', u'bound', u'feedback', u'log', u'regret', u'minimax']",[9],6
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Explaining Away in Weight Space,Dynamical Causal Learning,1,1,1852,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Convolution Kernels for Natural Language,Kernels for Structured Natural Language Data,1,1,2089,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,Efficient Exact Inference in Planar Ising Models,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,Randomized Pruning: Efficiently Calculating Expectations in Large Dynamic Programs,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,MAP estimation in Binary MRFs via Bipartite Multi-cuts,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,Learning as MAP Inference in Discrete Graphical Models,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,Projecting Ising Model Parameters for Fast Mixing,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Approximate inference using planar graph decomposition,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks,1,1,3046,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Multimodal Learning with Deep Boltzmann Machines,Expressing an Image Stream with a Sequence of Natural Sentences,1,1,4683,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1,1,5390,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,"neural, fingerprints, bfgs, algorithm, lstm, learning, convex, selection, algorithm, strategy",Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1,1,5390,"neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,1,1,700,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Robust Parameter Estimation and Model Selection for Neural Network Regression,1,1,700,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2014-2017,"learning, classi, algorithm, label, active, difference, error, labels, weak, oracle",Active Learning from Weak and Strong Labelers,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1,1,5988,"learning', u'classi', u'algorithm', u'label', u'active', u'difference', u'error', u'labels', u'weak', u'oracle']",[4],1
2014-2017,"learning, classi, algorithm, label, active, difference, error, labels, weak, oracle",Active Learning from Weak and Strong Labelers,The Multi-fidelity Multi-armed Bandit,1,1,5988,"learning', u'classi', u'algorithm', u'label', u'active', u'difference', u'error', u'labels', u'weak', u'oracle']",[4],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,1,1,4289,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1,1,4289,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,1,1,4289,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,1,1,4289,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,1,1,4289,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,1,1,4289,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1,1,4289,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,1,1,4289,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,1,1,4289,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,1,1,4289,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2008-2011,"graph, graphs, kernel, distance, kernels, lehman, weisfeiler, resistance, runtime, nodes",Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,1,1,4185,"graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2008-2011,"graph, graphs, kernel, distance, kernels, lehman, weisfeiler, resistance, runtime, nodes",Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,1,1,4185,"graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2011-2014,"data, model, neurons, neural, models, linear, matrix, activity, time, parameters",Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,1,1,4185,"data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2011-2014,"data, model, neurons, neural, models, linear, matrix, activity, time, parameters",Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,1,1,4185,"data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Variational inference for Markov jump processes,Approximate inference in continuous time Gaussian-Jump processes,1,1,3296,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Variational inference for Markov jump processes,Approximate inference in latent Gaussian-Markov models from continuous time observations,1,1,3296,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Learning the context of a category,Inductive reasoning about chimeric creatures,1,1,4139,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,"support, one, data, training, kernel, vector, svm, set, error, model",Bayesian time series classification,Adaptive Classification by Variational Kalman Filtering,1,1,2096,"support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,"function, clustering, state, distance, one, clusters, algorithm, cluster, points, eigenvectors",On Spectral Clustering: Analysis and an algorithm,A Three Tiered Approach for Articulated Object Action Modeling and Recognition,1,1,2092,"function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
1999-2002,"function, clustering, state, distance, one, clusters, algorithm, cluster, points, eigenvectors",On Spectral Clustering: Analysis and an algorithm,Fundamental Limitations of Spectral Clustering,1,1,2092,"function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
2011-2014,"data, model, neurons, neural, models, linear, matrix, activity, time, parameters",Inferring neural population dynamics from multiple partial recordings of the same neural circuit,Deterministic Symmetric Positive Semidefinite Matrix Completion,1,1,4874,"data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",On Lifting the Gibbs Sampling Algorithm,An Integer Polynomial Programming Based Framework for Lifted MAP Inference,1,1,4511,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,"terms, approximation, gaussian, corrections, correction, model, data, models, unity, posterior",A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,1,1,3583,"terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,"terms, approximation, gaussian, corrections, correction, model, data, models, unity, posterior",A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,1,1,3583,"terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,1,1,3583,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,1,1,3583,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1987-1990,"network, training, parameters, networks, number, classifiers, training, classifier, network, classification",Spoken Letter Recognition,Speech Recognition using SVMs,1,1,295,"network', u'training', u'parameters', u'networks', u'number', u'classifiers', u'training', u'classifier', u'network', u'classification']","[0, 4]",1
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Spoken Letter Recognition,Speech Recognition using SVMs,1,1,295,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Natural Language Grammar Induction Using a Constituent-Context Model,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,1,1,1945,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Natural Language Grammar Induction Using a Constituent-Context Model,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",1,1,1945,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,"naive, 2h2, hermite, xqi, error, expansion, node, query, kernel, ram",Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,1,1,2928,"naive', u'2h2', u'hermite', u'xqi', u'error', u'expansion', u'node', u'query', u'kernel', u'ram']",[3],9
2005-2008,"naive, 2h2, hermite, xqi, expansion, error, node, query, kernel, ram",Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,1,1,2928,"naive', u'2h2', u'hermite', u'xqi', u'expansion', u'error', u'node', u'query', u'kernel', u'ram']",[9],9
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",The Tradeoffs of Large Scale Learning,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1,1,3323,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,"algorithm, data, function, learning, regularization, privacy, batch, set, experiments, performance",Parallelized Stochastic Gradient Descent,Communication-Efficient Algorithms for Statistical Optimization,1,1,4006,"algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Parametric Task Learning,Joint quantile regression in vector-valued RKHSs,1,1,5213,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,"function, clustering, state, distance, one, clusters, algorithm, cluster, points, eigenvectors",An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,1,1,2340,"function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
1999-2002,"function, clustering, state, distance, one, clusters, algorithm, cluster, points, eigenvectors",An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,1,1,2340,"function', u'clustering', u'state', u'distance', u'one', u'clusters', u'algorithm', u'cluster', u'points', u'eigenvectors']","[2, 3]",9
2002-2005,"clustering, function, distance, points, one, naive, 2h2, hermite, xqi, error",An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,1,1,2340,"clustering', u'function', u'distance', u'points', u'one', u'naive', u'2h2', u'hermite', u'xqi', u'error']","[1, 3]",9
2002-2005,"clustering, function, distance, points, one, naive, 2h2, hermite, xqi, error",An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,1,1,2340,"clustering', u'function', u'distance', u'points', u'one', u'naive', u'2h2', u'hermite', u'xqi', u'error']","[1, 3]",9
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Learning to parse images of articulated bodies,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations,1,1,2976,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1999-2002,"support, one, data, training, kernel, vector, svm, set, error, model",Products of Gaussians,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,1,1,2102,"support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Grouping and dimensionality reduction by locally linear embedding,Self-Tuning Spectral Clustering,1,1,2033,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Grouping and dimensionality reduction by locally linear embedding,Sparse Manifold Clustering and Embedding,1,1,2033,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,"support, one, data, training, kernel, vector, svm, set, error, model",Thin Junction Trees,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,1,1,2069,"support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Compositionality of optimal control laws,An Approximate Inference Approach to Temporal Optimization in Optimal Control,1,1,3842,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Compositionality of optimal control laws,Sample Efficient Path Integral Control under Uncertainty,1,1,3842,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,1,1,4208,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,1,1,4208,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Inference with Multivariate Heavy-Tails in Linear Models,Affine Independent Variational Inference,1,1,3949,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Inference with Multivariate Heavy-Tails in Linear Models,Probabilistic Inference with Generating Functions for Poisson Latent Variable Models,1,1,3949,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"matrix, linear, algorithm, sampling, sgd, factorization, hott, rows, nonnegative, convex",Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Learning with a Wasserstein Loss,1,1,4927,"matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
2002-2005,"model, data, latent, learning, models, linear, training, space, mixture, doublets",Adaptive Manifold Learning,MLLE: Modified Locally Linear Embedding Using Multiple Weights,1,1,2560,"model', u'data', u'latent', u'learning', u'models', u'linear', u'training', u'space', u'mixture', u'doublets']",[7],0
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",Monte Carlo POMDPs,The Unscented Particle Filter,1,1,1772,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",Monte Carlo POMDPs,Exponential Family PCA for Belief Compression in POMDPs,1,1,1772,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
