Level1,Level2,Level3,Level4,Total,Paper_ID,Top_Words1,Top_Topic1
1993-1996,2,Computing with Infinite Networks,Computing with Finite and Infinite Networks,4.658,1197,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1996-1999,3,Computing with Infinite Networks,Mean Field Methods for Classification with Gaussian Processes,15.824,1197,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Computing with Infinite Networks,General Bounds on Bayes Errors for Regression with Gaussian Processes,0.928,1197,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Computing with Infinite Networks,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,5.747,1197,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Computing with Infinite Networks,Computing with Finite and Infinite Networks,0.065,1197,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
2002-2005,4,Information Bottleneck for Gaussian Variables,Receptive Fields without Spike-Triggering,19.494,2457,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,5,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,0.999,2857,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,6,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,0.136,2857,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Accelerated Variational Dirichlet Process Mixtures,Analysis of Brain States from Multi-Region LFP Time-Series,1.417,3025,"model, data, learning, models, figure, two, image, distribution, images, one",4
2011-2014,8,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,17.416,5498,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,9,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,9.579,5498,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1993-1996,10,Active Learning with Statistical Models,Probabilistic Modeling for Face Orientation Discrimination: Learning from Labeled and Unlabeled Data,26.151,1011,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2008-2011,11,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,18.492,4466,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,12,How Do Humans Teach: On Curriculum Learning and Teaching Dimension,Optimal Teaching for Limited-Capacity Human Learners,0.182,4466,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,13,Learning Networks of Heterogeneous Influence,Learning Influence Functions from Incomplete Observations,3.267,4582,"training, learning, network, networks, neural, using, set, data, model, layer",4
1999-2002,0,Direct value-approximation for factored MDPs,Value-Directed Compression of POMDPs,0.083,1981,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,0,Direct value-approximation for factored MDPs,Linear Program Approximations for Factored Continuous-State Markov Decision Processes,7.286,1981,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,1,Automatic Alignment of Local Representations,Adaptive Manifold Learning,0.723,2180,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,2,Automatic Alignment of Local Representations,Adaptive Manifold Learning,0.342,2180,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,Sequence learning with hidden units in spiking neural networks,1.492,3256,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,0.251,3256,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Neural characterization in partially observed populations of spiking neurons,On the relations of LFPs & Neural Spike Trains,0.12,3256,"model, data, learning, models, figure, two, image, distribution, images, one",4
1999-2002,4,A kernel method for multi-labelled classification,Reverse Multi-Label Learning,3.621,1964,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,A kernel method for multi-labelled classification,Transduction with Matrix Completion: Three Birds with One Stone,0.365,1964,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,A kernel method for multi-labelled classification,Sparse Bayesian Multi-Task Learning,1.337,1964,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,A kernel method for multi-labelled classification,Feature-aware Label Space Dimension Reduction for Multi-label Classification,0.472,1964,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,5,Semi-supervised MarginBoost,Regularized Boost for Semi-Supervised Learning,0.144,2108,"data, set, one, training, model, problem, function, figure, two, linear",5
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Network Flow Algorithms for Structured Sparsity,0.582,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Efficient Minimization of Decomposable Submodular Functions,0.098,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Prismatic Algorithm for Discrete D.C. Programming Problem,0.378,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Shaping Level Sets with Submodular Functions,0.301,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation,0.48,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Learning as MAP Inference in Discrete Graphical Models,0.051,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,On the Convergence Rate of Decomposable Submodular Function Minimization,1.543,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1.609,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Partition-wise Linear Models,0.051,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,LASSO with Non-linear Measurements is Equivalent to One With Linear Measurements,0.51,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Structured sparsity-inducing norms through submodular functions,Maximization of Approximately Submodular Functions,1.409,3933,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1996-1999,7,Exploiting Generative Models in Discriminative Classifiers,Speech Recognition using SVMs,1.097,1520,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
2005-2008,8,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,0.135,3590,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,9,Continuously-adaptive discretization for message-passing algorithms,Particle-based Variational Inference for Continuous Systems,0.108,3590,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Variational Inference over Combinatorial Spaces,Bayesian Pedigree Analysis using Measure Factorization,0.274,4036,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,11,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1.184,4330,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,12,Variational Gaussian Process Dynamical Systems,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,0.739,4330,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,13,Gaussian sampling by local perturbations,Training sparse natural image models with a fast Gibbs sampler of an extended state space,0.142,3940,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Gaussian sampling by local perturbations,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations,0.081,3940,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Gaussian sampling by local perturbations,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,2.052,3940,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,0,Manifold Parzen Windows,Submanifold density estimation,0.428,2203,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,0,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,0.746,2203,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,1,Manifold Parzen Windows,Submanifold density estimation,1.211,2203,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,1,Manifold Parzen Windows,Learning Probability Measures with respect to Optimal Transport Metrics,0.143,2203,"data, model, distance, latent, kernel, model, data, means, learning, training",7
1999-2002,2,Reducing multiclass to binary by coupling probability estimates,A Generalized Bradley-Terry Model: From Group Competition to Individual Skill,0.227,2122,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,3,Perspectives on Sparse Bayesian Learning,Using Bayesian Dynamical Systems for Motion Template Libraries,14.037,2393,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,4,A Model for Learning the Semantics of Pictures,Who's In the Picture,0.686,2474,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2014-2017,5,Skip-Thought Vectors,Multimodal Residual Learning for Visual QA,1.917,5950,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2008-2011,6,Spatial Normalized Gamma Processes,Construction of Dependent Dirichlet Processes based on Poisson Processes,27.827,3630,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,6,Spatial Normalized Gamma Processes,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,49.731,3630,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2005-2008,7,Efficient multiple hyperparameter learning for log-linear models,<var>\theta</var>,8.813,3286,"model, data, learning, models, figure, two, image, distribution, images, one",4
1993-1996,8,Exponentially many local minima for single neurons,Worst-case Loss Bounds for Single Neurons,4.518,1028,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1993-1996,8,Exponentially many local minima for single neurons,On the Computational Efficiency of Training Neural Networks,29.464,1028,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.738,3584,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,3.228,3584,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,6.95,3584,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,The Doubly Correlated Nonparametric Topic Model,1.26,3584,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,0.129,3584,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Evaluating probabilities under high-dimensional latent variable models,RNADE: The real-valued neural autoregressive density-estimator,0.964,3584,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,11,Multiagent Planning with Factored MDPs,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,6.186,1941,"data, set, one, training, model, problem, function, figure, two, linear",5
2011-2014,12,Matrix reconstruction with the local max norm,Online Optimization for Max-Norm Regularization,0.07,4615,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,13,Efficient Online Inference for Bayesian Nonparametric Relational Models,On the relations of LFPs & Neural Spike Trains,7.753,5072,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,0,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,2.669,3421,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,1,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,0.432,3421,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1993-1996,2,Improving Elevator Performance Using Reinforcement Learning,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1.06,1073,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1990-1993,3,HARMONET: A Neural Net for Harmonizing Chorales in the Style of J. S. Bach,Bach in a Box - Real-Time Harmony,0.108,576,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2014-2017,4,Combinatorial Bandits Revisited,Combinatorial semi-bandit with known covariance,0.055,5831,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1999-2002,5,Explaining Away in Weight Space,Dynamical Causal Learning,0.06,1852,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,6,Convolution Kernels for Natural Language,Kernels for Structured Natural Language Data,5.041,2089,"data, set, one, training, model, problem, function, figure, two, linear",5
2005-2008,7,Approximate inference using planar graph decomposition,Efficient Exact Inference in Planar Ising Models,0.06,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Approximate inference using planar graph decomposition,Randomized Pruning: Efficiently Calculating Expectations in Large Dynamic Programs,0.06,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Approximate inference using planar graph decomposition,MAP estimation in Binary MRFs via Bipartite Multi-cuts,67.179,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Approximate inference using planar graph decomposition,Learning as MAP Inference in Discrete Graphical Models,67.179,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Approximate inference using planar graph decomposition,Projecting Ising Model Parameters for Fast Mixing,3.633,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,7,Approximate inference using planar graph decomposition,Multilabel Structured Output Learning with Random Spanning Trees of Max-Margin Markov Networks,3.633,3046,"model, data, learning, models, figure, two, image, distribution, images, one",4
2011-2014,8,Multimodal Learning with Deep Boltzmann Machines,Expressing an Image Stream with a Sequence of Natural Sentences,0.184,4683,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,9,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,0.342,5390,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,10,Optimal Neural Codes for Control and Estimation,A Tractable Approximation to Optimal Point Process Filtering: Application to Neural Encoding,1.259,5390,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,0.066,700,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,11,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Robust Parameter Estimation and Model Selection for Neural Network Regression,0.514,700,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2014-2017,12,Active Learning from Weak and Strong Labelers,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,0.054,5988,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2014-2017,12,Active Learning from Weak and Strong Labelers,The Multi-fidelity Multi-armed Bandit,0.553,5988,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2008-2011,13,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,0,4289,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,0.069,4289,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.221,4289,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.105,4289,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,13,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,59.386,4289,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,0,Empirical models of spiking in neural populations,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data,4.914,4289,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Empirical models of spiking in neural populations,A Bayesian model for identifying hierarchically organised states in neural population activity,1.081,4289,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Empirical models of spiking in neural populations,Clustered factor analysis of multineuronal spike data,0.053,4289,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Empirical models of spiking in neural populations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,0.066,4289,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,0,Empirical models of spiking in neural populations,Extracting Latent Structure From Multiple Interacting Neural Populations,0.264,4289,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,1,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,0.428,4185,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,1,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.139,4185,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,2,Phase transition in the family of p-resistances,Analyzing the Harmonic Structure in Graph-Based Learning,13.716,4185,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,2,Phase transition in the family of p-resistances,From random walks to distances on unweighted graphs,0.759,4185,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in continuous time Gaussian-Jump processes,0.188,3296,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Variational inference for Markov jump processes,Approximate inference in latent Gaussian-Markov models from continuous time observations,1.917,3296,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,4,Learning the context of a category,Inductive reasoning about chimeric creatures,0.057,4139,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,5,Bayesian time series classification,Adaptive Classification by Variational Kalman Filtering,5.637,2096,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,A Three Tiered Approach for Articulated Object Action Modeling and Recognition,0.765,2092,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,6,On Spectral Clustering: Analysis and an algorithm,Fundamental Limitations of Spectral Clustering,42.775,2092,"data, set, one, training, model, problem, function, figure, two, linear",5
2011-2014,7,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,Deterministic Symmetric Positive Semidefinite Matrix Completion,0.573,4874,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,8,On Lifting the Gibbs Sampling Algorithm,An Integer Polynomial Programming Based Framework for Lifted MAP Inference,5.282,4511,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,9,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,0.08,3583,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,9,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,0.945,3583,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,10,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,0.421,3583,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,0.074,3583,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1987-1990,11,Spoken Letter Recognition,Speech Recognition using SVMs,0.083,295,"neuron, neurons, synapse, analog, digital, network, units, hidden, input, training",9
1990-1993,12,Spoken Letter Recognition,Speech Recognition using SVMs,0.158,295,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1999-2002,13,Natural Language Grammar Induction Using a Constituent-Context Model,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,0.186,1945,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,13,Natural Language Grammar Induction Using a Constituent-Context Model,"Rapid Inference on a Novel AND/OR graph for Object Detection, Segmentation and Parsing",0.074,1945,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,0,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,0.253,2928,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,1,Dual-Tree Fast Gauss Transforms,Linear-time Algorithms for Pairwise Statistical Problems,2.501,2928,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,2,The Tradeoffs of Large Scale Learning,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,3.716,3323,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,3,Parallelized Stochastic Gradient Descent,Communication-Efficient Algorithms for Statistical Optimization,0.11,4006,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,4,Parametric Task Learning,Joint quantile regression in vector-valued RKHSs,0.1,5213,"training, learning, network, networks, neural, using, set, data, model, layer",4
1999-2002,5,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,0,2340,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,5,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,0.4,2340,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,6,An Impossibility Theorem for Clustering,Measures of Clustering Quality: A Working Set of Axioms for Clustering,0.1,2340,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,6,An Impossibility Theorem for Clustering,Towards Property-Based Classification of Clustering Paradigms,0.6,2340,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2005-2008,7,Learning to parse images of articulated bodies,Articulated Pose Estimation by a Graphical Model with Image Dependent Pairwise Relations,0.1,2976,"model, data, learning, models, figure, two, image, distribution, images, one",4
1999-2002,8,Products of Gaussians,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,0.416,2102,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,9,Grouping and dimensionality reduction by locally linear embedding,Self-Tuning Spectral Clustering,5.949,2033,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,9,Grouping and dimensionality reduction by locally linear embedding,Sparse Manifold Clustering and Embedding,0.604,2033,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,10,Thin Junction Trees,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,0.104,2069,"data, set, one, training, model, problem, function, figure, two, linear",5
2008-2011,11,Compositionality of optimal control laws,An Approximate Inference Approach to Temporal Optimization in Optimal Control,6.556,3842,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,11,Compositionality of optimal control laws,Sample Efficient Path Integral Control under Uncertainty,0.64,3842,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,12,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,0.173,4208,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,13,Spectral Methods for Learning Multivariate Latent Tree Structure,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,2.836,4208,"training, learning, network, networks, neural, using, set, data, model, layer",4
2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Affine Independent Variational Inference,8.693,3949,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Probabilistic Inference with Generating Functions for Poisson Latent Variable Models,0.149,3949,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,1,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Learning with a Wasserstein Loss,1.606,4927,"training, learning, network, networks, neural, using, set, data, model, layer",4
2002-2005,2,Adaptive Manifold Learning,MLLE: Modified Locally Linear Embedding Using Multiple Weights,0.081,2560,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
1996-1999,3,Monte Carlo POMDPs,The Unscented Particle Filter,0.193,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Monte Carlo POMDPs,Exponential Family PCA for Belief Compression in POMDPs,0.062,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Monte Carlo POMDPs,Bayesian Policy Learning with Trans-Dimensional MCMC,0.399,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Monte Carlo POMDPs,Random Sampling of States in Dynamic Programming,0.134,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Monte Carlo POMDPs,Bayesian Model of Behaviour in Economic Games,0.102,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1996-1999,3,Monte Carlo POMDPs,Bayes-Adaptive Simulation-based Search with Value Function Approximation,1.357,1772,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1999-2002,4,Monte Carlo POMDPs,The Unscented Particle Filter,0.214,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,Monte Carlo POMDPs,Exponential Family PCA for Belief Compression in POMDPs,0.316,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,Monte Carlo POMDPs,Bayesian Policy Learning with Trans-Dimensional MCMC,0.218,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,Monte Carlo POMDPs,Random Sampling of States in Dynamic Programming,0.185,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,Monte Carlo POMDPs,Bayesian Model of Behaviour in Economic Games,0.183,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,4,Monte Carlo POMDPs,Bayes-Adaptive Simulation-based Search with Value Function Approximation,1.314,1772,"data, set, one, training, model, problem, function, figure, two, linear",5
1987-1990,5,Learning to Control an Unstable System with Forward Modeling,Fast Learning with Predictive Forward Models,0.062,199,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2005-2008,6,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,2.365,3521,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,7,Reducing statistical dependencies in natural signals using radial Gaussianization,Hierarchical Modeling of Local Image Features through ,0.08,3521,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,8,Bilinear classifiers for visual recognition,Multilinear Subspace Regression: An Orthogonal Tensor Decomposition Approach,0.916,3789,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1990-1993,9,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,0.059,792,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1993-1996,10,Figure of Merit Training for Detection and Spotting,Using Voice Transformations to Create Additional Training Talkers for Word Spotting,0.137,792,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1996-1999,11,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,0.576,1651,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1999-2002,12,Agglomerative Information Bottleneck,Data Clustering by Markovian Relaxation and the Information Bottleneck Method,0.344,1651,"data, set, one, training, model, problem, function, figure, two, linear",5
2014-2017,13,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing,Eliciting Categorical Data for Optimal Aggregation,0.054,5677,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2011-2014,0,Ensemble weighted kernel estimators for multivariate entropy estimation,Multivariate f-divergence Estimation With Confidence,0.1,4798,"training, learning, network, networks, neural, using, set, data, model, layer",4
